fips_gridID,fips,gridID,CountyST,latitude,longitude,year,Tjfma,Tapr-may,Tan,PPTjfmam,PPTamjja,PPTjja,PPTan,pptRatioSummerWinter
04001_051282,4001,51282,apacheAZ,34.68726507,-109.8144565,-9999,4.741370238,12.08489227,11.12657549,10.29742857,15.21557143,12.45357143,34.89485714,1.209386532
04001_051283,4001,51283,apacheAZ,34.70016509,-109.7055699,-9999,4.625859524,12.01375878,11.02093433,10.26042857,15.00485714,12.23185714,34.43914286,1.192139008
04001_051284,4001,51284,apacheAZ,34.71296355,-109.5966471,-9999,4.433828571,11.82513934,10.80923972,10.513,15.27357143,12.42614286,34.97928571,1.181978775
04001_051285,4001,51285,apacheAZ,34.72566039,-109.4876883,-9999,4.296561905,11.68236183,10.65815474,10.69957143,15.49057143,12.58185714,35.397,1.175921599
04001_051286,4001,51286,apacheAZ,34.73825556,-109.3786938,-9999,4.026968452,11.40252342,10.39768259,10.95128571,15.584,12.58857143,35.70328571,1.149506255
04001_051287,4001,51287,apacheAZ,34.75074903,-109.2696639,-9999,3.78017619,11.11273653,10.13848195,11.255,15.96471429,12.85228571,36.438,1.141917878
04001_051288,4001,51288,apacheAZ,34.76314075,-109.1605987,-9999,3.598782143,10.89515808,9.948174075,11.43771429,16.21571429,13.02142857,36.89614286,1.138464229
04001_051289,4001,51289,apacheAZ,34.77543068,-109.0514987,-9999,3.31451369,10.57949766,9.678372528,11.66857143,16.33785714,13.03342857,37.26557143,1.116968658
04001_051743,4001,51743,apacheAZ,34.77572316,-109.8304128,-9999,4.949999405,12.4061171,11.42723215,9.293714286,13.71814286,11.131,31.616,1.19769122
04001_051744,4001,51744,apacheAZ,34.78863676,-109.721404,-9999,4.653303571,12.09622365,11.10319554,9.804285714,14.19671429,11.49928571,32.79942857,1.172883579
04001_051745,4001,51745,apacheAZ,34.80144868,-109.6123588,-9999,4.474795833,11.91278571,10.90769305,10.09757143,14.46985714,11.71,33.47157143,1.15968479
04001_051746,4001,51746,apacheAZ,34.81415889,-109.5032775,-9999,4.178769048,11.60794496,10.61437448,10.44871429,14.61614286,11.75571429,33.96285714,1.12508716
04001_051747,4001,51747,apacheAZ,34.82676734,-109.3941604,-9999,3.932777381,11.32790515,10.35231479,10.85914286,15.08314286,12.10128571,34.94042857,1.114386823
04001_051748,4001,51748,apacheAZ,34.83927398,-109.2850077,-9999,3.771875595,11.14272834,10.18244305,11.11285714,15.38628571,12.31685714,35.54185714,1.108342975
04001_051749,4001,51749,apacheAZ,34.85167878,-109.1758197,-9999,3.525665476,10.85368501,9.922108927,11.45314286,15.81271429,12.61114286,36.38414286,1.101107619
04001_051750,4001,51750,apacheAZ,34.86398167,-109.0665967,-9999,3.323269048,10.63813349,9.735834713,11.66585714,15.914,12.62114286,36.66642857,1.081887315
04001_052205,4001,52205,apacheAZ,34.87709796,-109.7372744,-9999,4.694480357,12.18906323,11.20258322,9.325285714,13.36471429,10.77385714,31.15885714,1.155338021
04001_052206,4001,52206,apacheAZ,34.88992341,-109.6281066,-9999,4.401924405,11.878,10.88541129,9.863,13.86771429,11.15514286,32.40314286,1.131009111
04001_052207,4001,52207,apacheAZ,34.90264705,-109.5189026,-9999,4.09067619,11.55284778,10.57424307,10.30242857,14.09328571,11.26671429,33.12,1.093597903
04001_052208,4001,52208,apacheAZ,34.91526883,-109.4096626,-9999,3.919358333,11.35260304,10.39121203,10.64242857,14.44442857,11.51657143,33.87457143,1.082137536
04001_052209,4001,52209,apacheAZ,34.9277887,-109.3003869,-9999,3.670417262,11.06651756,10.13059131,11.08157143,14.96414286,11.89085714,34.93014286,1.073029869
04001_052210,4001,52210,apacheAZ,34.94020662,-109.1910758,-9999,3.4608,10.83556674,9.932802635,11.35,15.08971429,11.922,35.28857143,1.050396476
04001_052211,4001,52211,apacheAZ,34.95252255,-109.0817295,-9999,3.238852976,10.57606206,9.693316175,11.70714286,15.58471429,12.27785714,36.24785714,1.048749237
04001_052666,4001,52666,apacheAZ,34.96554888,-109.7531814,-9999,4.612545833,12.15323536,11.16993644,9.063428571,12.77285714,10.24828571,30.086,1.130729462
04001_052667,4001,52667,apacheAZ,34.97838791,-109.6438906,-9999,4.3186875,11.83410656,10.84994337,9.655285714,13.28328571,10.613,31.387,1.099190673
04001_052668,4001,52668,apacheAZ,34.99112504,-109.5345636,-9999,4.087245833,11.59875527,10.62521325,9.946142857,13.38842857,10.64057143,31.82685714,1.069818882
04001_052669,4001,52669,apacheAZ,35.0037602,-109.4252004,-9999,3.822602381,11.28698946,10.34053936,10.55414286,13.96785714,11.05,33.12771429,1.046982228
04001_052670,4001,52670,apacheAZ,35.01629336,-109.3158014,-9999,3.648691667,11.07818618,10.16122881,10.91614286,14.36257143,11.33414286,33.94985714,1.038291914
04001_052671,4001,52671,apacheAZ,35.02872447,-109.2063669,-9999,3.34757381,10.73693794,9.865751617,11.38357143,14.69857143,11.51928571,34.76114286,1.011921943
04001_052672,4001,52672,apacheAZ,35.04105349,-109.0968972,-9999,3.1340375,10.49240632,9.634950229,11.763,15.215,11.89457143,35.74057143,1.011185193
04001_053127,4001,53127,apacheAZ,35.05398969,-109.7691249,-9999,4.542951786,12.1191534,11.13833099,8.838142857,12.28885714,9.808428571,29.17728571,1.109783891
